When,Phone1,Phone2
2020-01-06 10:21:21,6700000008,6700000009
2020-01-05 06:03:16,6700000000,6700000007
2020-01-09 14:54:03,6700000001,6700000000
2020-01-03 07:58:18,6700000000,6700000005
2020-01-01 07:56:25,6700000005,6700000003
2020-01-10 10:42:25,6700000003,6700000004
2020-01-02 07:45:06,6700000008,6700000006
2020-01-09 03:03:18,6700000006,6700000002
2020-01-10 16:06:30,6700000006,6700000008
2020-01-08 12:29:32,6700000004,6700000007
2020-01-02 23:36:55,6700000009,6700000009
2020-01-07 19:29:39,6700000005,6700000006
2020-01-03 16:41:18,6700000006,6700000005
2020-01-07 06:30:31,6700000005,6700000004
2020-01-10 23:05:43,6700000005,6700000002
2020-01-01 01:39:24,6700000004,6700000001
2020-01-03 12:58:25,6700000009,6700000004
2020-01-04 12:45:11,6700000006,6700000003
2020-01-09 20:03:01,6700000002,6700000007
2020-01-10 13:23:26,6700000009,6700000007
